formno,variable_name,variable_label,var_value,value_label
form21_2018,provhuc,Province and HUCs Level,25,Marinduque
form21_2018,provhuc,Province and HUCs Level,26,Occidental Mindoro
form21_2018,provhuc,Province and HUCs Level,27,Oriental Mindoro
form21_2018,provhuc,Province and HUCs Level,28,Palawan
form21_2018,provhuc,Province and HUCs Level,29,Puerto Princesa City
form21_2018,provhuc,Province and HUCs Level,30,Romblon
form21_2018,provhuc,Province and HUCs Level,31,Albay
form21_2018,provhuc,Province and HUCs Level,32,Camarines Norte
form21_2018,provhuc,Province and HUCs Level,33,Camarines Sur
form21_2018,provhuc,Province and HUCs Level,34,Catanduanes
form21_2018,provhuc,Province and HUCs Level,35,Masbate
form21_2018,provhuc,Province and HUCs Level,36,Sorsogon
form21_2018,provhuc,Province and HUCs Level,37,Aklan
form21_2018,provhuc,Province and HUCs Level,38,Antique
form21_2018,provhuc,Province and HUCs Level,39,Capiz
form21_2018,provhuc,Province and HUCs Level,40,Iloilo City
form21_2018,provhuc,Province and HUCs Level,41,Iloilo Province
form21_2018,provhuc,Province and HUCs Level,42,Bacolod City
form21_2018,provhuc,Province and HUCs Level,43,Negros Occidental
form21_2018,provhuc,Province and HUCs Level,44,Guimaras
form21_2018,provhuc,Province and HUCs Level,45,Bohol
form21_2018,provhuc,Province and HUCs Level,46,Mandaue City
form21_2018,provhuc,Province and HUCs Level,47,Lapu-Lapu City (Opon)
form21_2018,provhuc,Province and HUCs Level,48,Cebu
form21_2018,provhuc,Province and HUCs Level,49,Cebu City
form21_2018,provhuc,Province and HUCs Level,50,Negros Oriental
form21_2018,provhuc,Province and HUCs Level,51,Siquijor
form21_2018,provhuc,Province and HUCs Level,52,Eastern Samar
form21_2018,provhuc,Province and HUCs Level,53,Tacloban City
form21_2018,provhuc,Province and HUCs Level,54,Leyte
form21_2018,provhuc,Province and HUCs Level,55,Northern Samar
form21_2018,provhuc,Province and HUCs Level,56,Western Samar
form21_2018,provhuc,Province and HUCs Level,57,Southern Leyte
form21_2018,provhuc,Province and HUCs Level,58,Biliran
form21_2018,provhuc,Province and HUCs Level,59,Zamboanga del Norte
form21_2018,provhuc,Province and HUCs Level,60,Zamboanga City
form21_2018,provhuc,Province and HUCs Level,61,Zamboanga Del Sur
form21_2018,provhuc,Province and HUCs Level,62,Zamboanga Sibugay
form21_2018,provhuc,Province and HUCs Level,63,City of Isabela
form21_2018,provhuc,Province and HUCs Level,64,Bukidnon
form21_2018,provhuc,Province and HUCs Level,65,Camiguin
form21_2018,provhuc,Province and HUCs Level,66,Lanao Del Norte
form21_2018,provhuc,Province and HUCs Level,67,Iligan City
form21_2018,provhuc,Province and HUCs Level,68,Misamis Occidental
form21_2018,provhuc,Province and HUCs Level,69,Cagayan De Oro
form21_2018,provhuc,Province and HUCs Level,70,Misamis Oriental
form21_2018,provhuc,Province and HUCs Level,71,Davao Del Norte
form21_2018,provhuc,Province and HUCs Level,72,Davao City
form21_2018,provhuc,Province and HUCs Level,73,Davao Del Sur
form21_2018,provhuc,Province and HUCs Level,74,Davao Oriental
form21_2018,provhuc,Province and HUCs Level,75,Compostela Valley
form21_2018,provhuc,Province and HUCs Level,76,Davao Occidental
form21_2018,provhuc,Province and HUCs Level,77,North Cotabato
form21_2018,provhuc,Province and HUCs Level,78,South Cotabato
form21_2018,provhuc,Province and HUCs Level,79,General Santos City
form21_2018,provhuc,Province and HUCs Level,80,Sultan Kudarat
form21_2018,provhuc,Province and HUCs Level,81,Sarangani
form21_2018,provhuc,Province and HUCs Level,82,Cotabato City
form21_2018,provhuc,Province and HUCs Level,83,City of Manila
form21_2018,provhuc,Province and HUCs Level,84,Mandaluyong City
form21_2018,provhuc,Province and HUCs Level,85,San Juan City
form21_2018,provhuc,Province and HUCs Level,86,Quezon City
form21_2018,provhuc,Province and HUCs Level,87,City Of Marikina
form21_2018,provhuc,Province and HUCs Level,88,City of Pasig
form21_2018,provhuc,Province and HUCs Level,89,Caloocan City
form21_2018,provhuc,Province and HUCs Level,90,City Of Malabon
form21_2018,provhuc,Province and HUCs Level,91,City of Navotas
form21_2018,provhuc,Province and HUCs Level,92,City of Valenzuela
form21_2018,provhuc,Province and HUCs Level,93,Makati City
form21_2018,provhuc,Province and HUCs Level,94,Taguig City
form21_2018,provhuc,Province and HUCs Level,95,Las Pi?as City
form21_2018,provhuc,Province and HUCs Level,96,City Of Para?aque
form21_2018,provhuc,Province and HUCs Level,97,Pateros
form21_2018,provhuc,Province and HUCs Level,98,City of Muntinlupa
form21_2018,provhuc,Province and HUCs Level,99,Pasay City
form21_2018,provhuc,Province and HUCs Level,100,Abra
form21_2018,provhuc,Province and HUCs Level,101,Baguio
form21_2018,provhuc,Province and HUCs Level,102,Benguet
form21_2018,provhuc,Province and HUCs Level,103,Ifugao
form21_2018,provhuc,Province and HUCs Level,104,Kalinga
form21_2018,provhuc,Province and HUCs Level,105,Mountain Province
form21_2018,provhuc,Province and HUCs Level,106,Apayao
form21_2018,provhuc,Province and HUCs Level,107,Basilan
form21_2018,provhuc,Province and HUCs Level,108,Lanao Del Sur
form21_2018,provhuc,Province and HUCs Level,109,Maguindanao
form21_2018,provhuc,Province and HUCs Level,110,Tawi-Tawi
form21_2018,provhuc,Province and HUCs Level,111,Butuan City
form21_2018,provhuc,Province and HUCs Level,112,Agusan Del Norte
form21_2018,provhuc,Province and HUCs Level,113,Agusan Del Sur
form21_2018,provhuc,Province and HUCs Level,114,Surigao Del Norte
form21_2018,provhuc,Province and HUCs Level,115,Surigao Del Sur
form21_2018,provhuc,Province and HUCs Level,116,Dinagat Islands
form21_2018,enns_year,Expanded National Nutrition Survey Year,,
form21_2018,hhnum,Household Number (Merging variable/Unique household identifier),,
form21_2018,member_code,Member Code (Merging variable/Unique identifier),,
form21_2018,fwgti_natl_var,National Sampling Weights,,
form21_2018,fwgti_prov,Provincial Sampling Weights,,
form21_2018,rep_natl,ENNS Replicate Codes,,
form21_2018,rep_prov,MS Replicate Codes,,
form21_2018,ms_psucode,Primary Sampling Unit Number,,
form21_2018,ethnicity,Ethnicity,0,No, Not an Indigenous People
form21_2018,ethnicity,Ethnicity,1,Yes, Indigenous People
form21_2018,weight,Average Weight (kg),,
form21_2018,height,Average Height (cm),,
form21_2018,waist,Average Waist Circumference (cm),,
form21_2018,hip,Average Hip Circumference (cm) (2018 & 2019 ENNS only),,
form21_2018,anthro_group,Anthropometric Group,1,0 ? 59 Months Old
form21_2018,anthro_group,Anthropometric Group,2,60 ? 120 Months Old
form21_2018,anthro_group,Anthropometric Group,3,121 ? 228 Months Old
form21_2018,anthro_group,Anthropometric Group,4,Adults (19.08 Years Old and Above)
form21_2018,anthro_group,Anthropometric Group,5,Pregnant Women 
form21_2018,anthro_group,Anthropometric Group,6,Lactating Mothers
form21_2018,mos_lactation,Months of Lactation,10,Lactating, 0- 6 months
form21_2018,mos_lactation,Months of Lactation,11,Lactating, 7-12 months
form21_2018,mos_lactation,Months of Lactation,12,Lactating, over 1 year
form21_2018,mos_preg,Months of Pregnancy,1,Pregnant, 1 month
form21_2018,mos_preg,Months of Pregnancy,2,Pregnant, 2 months
form21_2018,mos_preg,Months of Pregnancy,3,Pregnant, 3 months
form21_2018,mos_preg,Months of Pregnancy,4,Pregnant, 4 months
form21_2018,mos_preg,Months of Pregnancy,5,Pregnant, 5 months
form21_2018,mos_preg,Months of Pregnancy,6,Pregnant, 6 months
form21_2018,mos_preg,Months of Pregnancy,7,Pregnant, 7 months
form21_2018,mos_preg,Months of Pregnancy,8,Pregnant, 8 months
form21_2018,mos_preg,Months of Pregnancy,9,Pregnant, 9 months
